zipcode,population
93536,71303
93591,6809
90029,38843
90010,3759
90024,49718
90025,47453
90201,102878
90031,39103
90035,29920
90063,53556
90242,42922
90713,28927
90715,20313
90716,14409
90717,21740
90731,61789
90744,56779
90746,26852
90008,32359
90013,11957
90016,46303
93544,1099
93535,73728
93510,7836
93543,14748
90017,26390
90036,38116
90064,26007
90065,48420
90241,44097
90248,10899
90270,27597
92397,4457
90402,11681
90275,42606
90305,15574
90401,7485
90404,22586
90670,16642
90745,57219
90806,42587
90813,60935
90211,8019
90056,8014
90058,3189
90062,33627
90220,51713
90222,32585
90255,75636
90265,18119
90266,35698
90292,22328
90304,25937
90505,37368
90640,63547
90650,106404
90001,58738
90012,33783
90034,56070
90061,28003
90066,59747
90638,49797
90712,31471
90804,40225
90807,32395
90810,38769
90501,43008
90660,63694
90704,3940
90723,55020
90803,32116
90022,67446
90019,67415
90028,31054
90037,63238
90041,28651
90048,22860
90057,49389
90067,2235
90068,21726
90069,20401
90210,20016
90221,54259
90232,14865
90240,26339
90247,47969
90274,25374
90293,12762
90301,37518
90504,33422
90602,26482
90631,69579
90814,18175
90815,40359
90071,0
90230,32657
90249,26286
90272,22927
90291,27170
90303,24658
90403,24764
90502,18010
90603,20697
90604,41369
90007,41221
90015,20187
90003,70490
90020,39191
90023,47229
90027,45616
90039,29092
90045,41420
90046,51615
90077,8936
90260,35614
90262,71306
90263,1868
90278,40808
90002,52856
90005,39562
90011,108051
90014,7408
90026,68609
90033,48841
90038,27957
90040,12925
90044,94680
90808,38487
90701,16912
90802,40226
90805,96069
90004,62733
90006,62329
90032,47766
90042,63788
90043,44571
90047,48491
90049,36362
90212,13207
90245,16929
90277,34922
90290,5714
90302,30892
90503,45349
90605,41818
90606,32599
90703,50877
90732,22408
90021,3158
90059,47351
90280,95420
90405,28305
90706,77852
90018,52287
90250,97371
90601,34025
90254,19750
90710,28667
90094,8568
90095,0
90755,11581
90747,0
90089,3846
91506,18245
91403,24677
91411,25210
91754,33114
91765,47398
91731,30063
91733,44989
91741,26610
91745,54166
91768,36122
91780,35184
91792,29787
91325,34240
91326,36804
91345,19022
91356,30346
91402,71317
91436,14794
91501,20892
91605,52386
91723,20193
91740,26067
91744,86982
91746,30640
91750,34017
91759,426
91766,72787
91767,49492
91770,63981
91776,38322
91367,43370
91006,33200
91011,20499
91201,23466
91302,26500
91381,20530
91384,29283
91405,54770
91505,30997
91607,31383
91722,36557
91748,47114
91773,34555
91304,53627
91324,30101
91335,79687
91342,96177
91343,65964
91105,11907
91016,42013
91108,13769
91204,18318
91303,30380
91306,49551
91331,105696
91604,30642
91608,0
91702,61739
91024,11061
91106,25479
91107,32199
91355,31645
91401,40995
91406,56200
91423,33641
91502,11645
91602,18944
91706,77819
91711,36933
91001,37528
91354,31027
91010,26265
91203,14393
91340,35771
91364,27031
91202,23182
91207,10288
91208,17128
91214,30991
91307,27233
91311,40064
91344,53453
91775,25156
91790,45958
91020,8551
91030,25940
91104,39178
91205,37514
91007,34357
91042,26767
91206,34938
91301,26028
91321,34510
91350,37149
91351,32661
91361,20826
91601,38379
91606,44352
91732,63557
91755,27942
91801,54928
91803,30137
91789,44115
91791,33953
91040,20175
91352,47934
91101,20719
91316,30888
91504,26558
91724,25755
91103,28435
91330,3306
91210,835
91008,1191
91390,19521
91387,43319
93552,41320
93532,2857
93550,75774
93551,51896
93563,417
93243,1709
93534,39166
93553,1893
